2024-11-16 22:20:08 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:20:08 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:20:40 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:20:40 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:21:03 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:21:04 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:22:07 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:22:23 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:22:23 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:22:59 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:23:23 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:23:23 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:23:56 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:24:29 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:24:30 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:26:59 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:27:58 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:27:58 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:28:25 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:28:25 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:28:39 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:28:40 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:29:12 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:29:54 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:29:55 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:30:36 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
